source,target,weight
ADMIRAL ACKBAR,C-3PO,1
ADMIRAL ACKBAR,HAN,1
ADMIRAL ACKBAR,LANDO,5
ADMIRAL ACKBAR,LEIA,1
ADMIRAL ACKBAR,LUKE,1
ADMIRAL ACKBAR,MON MOTHMA,1
ADMIRAL ACKBAR,WEDGE,1
ANAKIN,BAIL ORGANA,2
ANAKIN,BERU,1
ANAKIN,BOSS NASS,1
ANAKIN,BRAVO THREE,1
ANAKIN,BRAVO TWO,2
ANAKIN,C-3PO,10
ANAKIN,CAPTAIN PANAKA,2
ANAKIN,CAPTAIN TYPHO,3
ANAKIN,CLIEGG,2
ANAKIN,CLONE COMMANDER CODY,1
ANAKIN,COUNT DOOKU,3
ANAKIN,DARTH VADER,1
ANAKIN,EMPEROR,14
ANAKIN,GENERAL GRIEVOUS,1
ANAKIN,GREEDO,1
ANAKIN,JABBA,1
ANAKIN,JAR JAR,12
ANAKIN,JIRA,2
ANAKIN,JOBAL,1
ANAKIN,KI-ADI-MUNDI,2
ANAKIN,KITSTER,3
ANAKIN,LUKE,1
ANAKIN,MACE WINDU,9
ANAKIN,NUTE GUNRAY,1
ANAKIN,OBI-WAN,46
ANAKIN,ODD BALL,2
ANAKIN,OWEN,3
ANAKIN,PADME,41
ANAKIN,POGGLE,1
ANAKIN,QUI-GON,22
ANAKIN,R2-D2,32
ANAKIN,RABE,1
ANAKIN,RIC OLIE,4
ANAKIN,RUWEE,3
ANAKIN,SEBULBA,2
ANAKIN,SHMI,8
ANAKIN,SIO BIBBLE,1
ANAKIN,SOLA,1
ANAKIN,SUN RIT,1
ANAKIN,WALD,2
ANAKIN,WATTO,5
ANAKIN,YODA,9
BAIL ORGANA,C-3PO,3
BAIL ORGANA,CAPTAIN ANTILLES,2
BAIL ORGANA,EMPEROR,6
BAIL ORGANA,FANG ZAR,2
BAIL ORGANA,GIDDEAN DANU,1
BAIL ORGANA,JAR JAR,1
BAIL ORGANA,KI-ADI-MUNDI,1
BAIL ORGANA,MACE WINDU,2
BAIL ORGANA,MON MOTHMA,2
BAIL ORGANA,OBI-WAN,8
BAIL ORGANA,PADME,5
BAIL ORGANA,QUI-GON,1
BAIL ORGANA,R2-D2,4
BAIL ORGANA,SENATOR ASK AAK,1
BAIL ORGANA,VALORUM,1
BAIL ORGANA,YODA,8
BERU,C-3PO,3
BERU,CLIEGG,1
BERU,LEIA,1
BERU,LUKE,3
BERU,OWEN,4
BERU,PADME,1
BERU,R2-D2,1
BIB FORTUNA,C-3PO,2
BIB FORTUNA,JABBA,1
BIB FORTUNA,LUKE,1
BIGGS,C-3PO,1
BIGGS,CAMIE,2
BIGGS,GOLD LEADER,1
BIGGS,LEIA,1
BIGGS,LUKE,4
BIGGS,R2-D2,1
BIGGS,RED LEADER,3
BIGGS,WEDGE,2
BOBA FETT,C-3PO,1
BOBA FETT,CHEWBACCA,1
BOBA FETT,DARTH VADER,3
BOBA FETT,HAN,1
BOBA FETT,JANGO FETT,3
BOBA FETT,LANDO,2
BOBA FETT,LEIA,1
BOBA FETT,OBI-WAN,1
BOBA FETT,PIETT,1
BOBA FETT,TAUN WE,2
BOSS NASS,CAPTAIN PANAKA,1
BOSS NASS,JAR JAR,2
BOSS NASS,OBI-WAN,2
BOSS NASS,PADME,2
BOSS NASS,QUI-GON,2
BOUSHH,C-3PO,2
BOUSHH,HAN,1
BOUSHH,JABBA,1
BOUSHH,LEIA,1
BRAVO THREE,BRAVO TWO,2
BRAVO THREE,RIC OLIE,2
BRAVO TWO,RIC OLIE,4
C-3PO,CAPTAIN ANTILLES,1
C-3PO,CAPTAIN TYPHO,2
C-3PO,CHEWBACCA,38
C-3PO,CLIEGG,1
C-3PO,DARTH VADER,1
C-3PO,DERLIN,1
C-3PO,EMPEROR,2
C-3PO,HAN,51
C-3PO,JABBA,3
C-3PO,KITSTER,1
C-3PO,LANDO,8
C-3PO,LEIA,44
C-3PO,LUKE,29
C-3PO,MON MOTHMA,1
C-3PO,OBI-WAN,9
C-3PO,OWEN,4
C-3PO,PADME,12
C-3PO,QUI-GON,1
C-3PO,R2-D2,51
C-3PO,RED LEADER,1
C-3PO,RIEEKAN,1
C-3PO,WATTO,1
C-3PO,YODA,1
CAMIE,LUKE,2
CAPTAIN ANTILLES,R2-D2,1
CAPTAIN PANAKA,EMPEROR,3
CAPTAIN PANAKA,JAR JAR,7
CAPTAIN PANAKA,OBI-WAN,7
CAPTAIN PANAKA,PADME,7
CAPTAIN PANAKA,QUI-GON,9
CAPTAIN PANAKA,RIC OLIE,2
CAPTAIN PANAKA,SIO BIBBLE,3
CAPTAIN TYPHO,JAR JAR,1
CAPTAIN TYPHO,OBI-WAN,2
CAPTAIN TYPHO,PADME,2
CHEWBACCA,DARTH VADER,1
CHEWBACCA,HAN,58
CHEWBACCA,LANDO,15
CHEWBACCA,LEIA,41
CHEWBACCA,LUKE,29
CHEWBACCA,MON MOTHMA,1
CHEWBACCA,OBI-WAN,4
CHEWBACCA,R2-D2,16
CHEWBACCA,RIEEKAN,1
CLIEGG,OWEN,2
CLIEGG,PADME,2
CLONE COMMANDER CODY,MACE WINDU,1
CLONE COMMANDER CODY,OBI-WAN,2
CLONE COMMANDER CODY,YODA,1
CLONE COMMANDER GREE,YODA,1
COUNT DOOKU,EMPEROR,2
COUNT DOOKU,JANGO FETT,1
COUNT DOOKU,MACE WINDU,2
COUNT DOOKU,NUTE GUNRAY,1
COUNT DOOKU,OBI-WAN,3
COUNT DOOKU,PADME,3
COUNT DOOKU,POGGLE,1
COUNT DOOKU,SUN RIT,1
COUNT DOOKU,YODA,2
DACK,LUKE,3
DARTH MAUL,EMPEROR,3
DARTH MAUL,GENERAL CEEL,1
DARTH MAUL,NUTE GUNRAY,3
DARTH MAUL,RUNE,1
DARTH VADER,EMPEROR,7
DARTH VADER,HAN,2
DARTH VADER,JERJERROD,1
DARTH VADER,LANDO,4
DARTH VADER,LEIA,2
DARTH VADER,LUKE,7
DARTH VADER,MOTTI,1
DARTH VADER,NEEDA,1
DARTH VADER,OBI-WAN,1
DARTH VADER,OZZEL,2
DARTH VADER,PIETT,8
DARTH VADER,TARKIN,7
DERLIN,LEIA,1
DODONNA,GOLD LEADER,1
DODONNA,LUKE,1
DODONNA,WEDGE,1
DOFINE,NUTE GUNRAY,1
DOFINE,TC-14,1
DOFINE,TEY HOW,1
EMPEROR,GENERAL CEEL,1
EMPEROR,JAR JAR,5
EMPEROR,KI-ADI-MUNDI,1
EMPEROR,LUKE,3
EMPEROR,MACE WINDU,3
EMPEROR,NUTE GUNRAY,6
EMPEROR,OBI-WAN,5
EMPEROR,ORN FREE TAA,2
EMPEROR,PADME,5
EMPEROR,QUI-GON,1
EMPEROR,R2-D2,2
EMPEROR,RUNE,3
EMPEROR,SENATOR ASK AAK,2
EMPEROR,SIO BIBBLE,1
EMPEROR,VALORUM,2
EMPEROR,YODA,2
FANG ZAR,GIDDEAN DANU,1
FANG ZAR,MON MOTHMA,2
FANG ZAR,PADME,2
FODE/BEED,JABBA,1
FODE/BEED,JAR JAR,2
FODE/BEED,PADME,1
GENERAL CEEL,JAR JAR,1
GENERAL CEEL,NUTE GUNRAY,1
GENERAL GRIEVOUS,NUTE GUNRAY,1
GENERAL GRIEVOUS,OBI-WAN,2
GIDDEAN DANU,MON MOTHMA,1
GIDDEAN DANU,PADME,1
GOLD LEADER,LUKE,1
GOLD LEADER,RED LEADER,1
GOLD LEADER,WEDGE,1
GREEDO,HAN,1
GREEDO,QUI-GON,1
GREEDO,WALD,1
HAN,JABBA,1
HAN,LANDO,12
HAN,LEIA,64
HAN,LUKE,43
HAN,MON MOTHMA,1
HAN,OBI-WAN,10
HAN,R2-D2,19
HAN,RIEEKAN,3
HAN,ZEV,1
JABBA,JAR JAR,1
JABBA,LUKE,2
JABBA,PADME,1
JABBA,QUI-GON,1
JABBA,R2-D2,2
JABBA,SEBULBA,1
JABBA,SHMI,1
JANGO FETT,OBI-WAN,1
JANGO FETT,TAUN WE,1
JANSON,WEDGE,2
JAR JAR,KITSTER,1
JAR JAR,MACE WINDU,1
JAR JAR,OBI-WAN,15
JAR JAR,ORN FREE TAA,1
JAR JAR,PADME,10
JAR JAR,QUI-GON,22
JAR JAR,RIC OLIE,1
JAR JAR,SEBULBA,2
JAR JAR,SENATOR ASK AAK,1
JAR JAR,SHMI,3
JAR JAR,SIO BIBBLE,1
JAR JAR,TARPALS,2
JAR JAR,VALORUM,1
JAR JAR,WALD,1
JAR JAR,YODA,1
JIRA,PADME,1
JIRA,QUI-GON,2
JOBAL,PADME,1
JOBAL,RUWEE,1
JOBAL,SOLA,2
KI-ADI-MUNDI,MACE WINDU,4
KI-ADI-MUNDI,OBI-WAN,1
KI-ADI-MUNDI,PLO KOON,1
KI-ADI-MUNDI,QUI-GON,2
KI-ADI-MUNDI,RABE,1
KI-ADI-MUNDI,YODA,4
KITSTER,PADME,1
KITSTER,QUI-GON,2
KITSTER,R2-D2,2
KITSTER,SHMI,1
KITSTER,WALD,1
KITSTER,WATTO,1
LAMA SU,OBI-WAN,6
LAMA SU,TAUN WE,2
LANDO,LEIA,12
LANDO,LUKE,6
LANDO,MON MOTHMA,1
LANDO,R2-D2,3
LANDO,WEDGE,6
LEIA,LUKE,26
LEIA,MON MOTHMA,1
LEIA,MOTTI,1
LEIA,OBI-WAN,1
LEIA,R2-D2,22
LEIA,RED LEADER,1
LEIA,RIEEKAN,4
LEIA,TARKIN,1
LUKE,MON MOTHMA,1
LUKE,OBI-WAN,22
LUKE,OWEN,3
LUKE,R2-D2,29
LUKE,RED LEADER,3
LUKE,RED TEN,1
LUKE,WEDGE,4
LUKE,YODA,6
LUKE,ZEV,1
MACE WINDU,OBI-WAN,9
MACE WINDU,PADME,2
MACE WINDU,QUI-GON,2
MACE WINDU,RABE,1
MACE WINDU,SENATOR ASK AAK,1
MACE WINDU,YODA,16
MON MOTHMA,PADME,2
MON MOTHMA,R2-D2,1
MOTTI,TARKIN,2
NEEDA,PIETT,1
NUTE GUNRAY,OBI-WAN,1
NUTE GUNRAY,PADME,2
NUTE GUNRAY,POGGLE,2
NUTE GUNRAY,QUI-GON,1
NUTE GUNRAY,RUNE,8
NUTE GUNRAY,SIO BIBBLE,2
NUTE GUNRAY,SUN RIT,2
NUTE GUNRAY,TC-14,1
NUTE GUNRAY,TEY HOW,1
OBI-WAN,ODD BALL,2
OBI-WAN,PADME,9
OBI-WAN,PK-4,1
OBI-WAN,POGGLE,1
OBI-WAN,QUI-GON,26
OBI-WAN,R2-D2,16
OBI-WAN,RIC OLIE,3
OBI-WAN,SENATOR ASK AAK,1
OBI-WAN,SHMI,1
OBI-WAN,SIO BIBBLE,1
OBI-WAN,SUN RIT,1
OBI-WAN,TAUN WE,5
OBI-WAN,TC-14,1
OBI-WAN,TION MEDON,1
OBI-WAN,YODA,20
ORN FREE TAA,SENATOR ASK AAK,1
OWEN,PADME,4
OWEN,R2-D2,1
OZZEL,PIETT,2
PADME,POGGLE,1
PADME,QUI-GON,16
PADME,R2-D2,22
PADME,RUWEE,1
PADME,SEBULBA,2
PADME,SHMI,5
PADME,SIO BIBBLE,1
PADME,SOLA,1
PADME,SUN RIT,1
PADME,WATTO,3
PADME,YODA,1
PK-4,TC-14,1
POGGLE,SUN RIT,2
QUI-GON,R2-D2,14
QUI-GON,RABE,1
QUI-GON,RIC OLIE,2
QUI-GON,SEBULBA,2
QUI-GON,SHMI,8
QUI-GON,SIO BIBBLE,2
QUI-GON,TC-14,1
QUI-GON,VALORUM,1
QUI-GON,WALD,2
QUI-GON,WATTO,6
QUI-GON,YODA,3
R2-D2,WATTO,3
R2-D2,YODA,1
RABE,YODA,1
RED LEADER,RED TEN,1
RED LEADER,WEDGE,3
RUNE,TEY HOW,2
RUWEE,SOLA,1
SEBULBA,SHMI,1
SENATOR ASK AAK,YODA,1
